ProductID,ProductName,ProductDescription,ProductGroupID,Price,StockQuantity,Manufacturer,SupplierID,WarrantyPeriod,SKU,Dimensions,Weight,Color,ReleaseDate,CreatedAt,UpdatedAt
1,"Smartphone X","High-performance smartphone with AI camera and edge-to-edge display.",1,799,5000,"TechCo","1",12,"SKU001","6x3x0.3 inches",0.3,"Black","2023-01-15","2024-06-22 06:00:00","2024-06-22 06:00:00"
2,"Laptop Y","Thin and lightweight laptop with SSD storage and long battery life.",2,1299,2000,"TechCo","1",24,"SKU002","14x10x0.6 inches",2.0,"Silver","2023-02-20","2024-06-22 06:15:00","2024-06-22 06:15:00"
3,"Smartwatch Z","Fitness-oriented smartwatch with heart rate monitoring and GPS.",3,199,10000,"Wearables Inc.","2",12,"SKU003","2x2x0.4 inches",0.1,"Black","2023-03-25","2024-06-22 06:30:00","2024-06-22 06:30:00"
4,"Tablet A","10-inch tablet with quad-core processor and Full HD display.",4,399,3000,"TechCo","1",12,"SKU004","10x7x0.3 inches",1.0,"White","2023-04-30","2024-06-22 06:45:00","2024-06-22 06:45:00"
5,"Bluetooth Speaker B","Portable Bluetooth speaker with 20W output and waterproof design.",5,79,8000,"AudioTech","4",12,"SKU005","8x4x4 inches",1.5,"Black","2023-05-15","2024-06-22 07:00:00","2024-06-22 07:00:00"
6,"Smart Thermostat C","WiFi-enabled smart thermostat with energy-saving features.",6,149,1500,"ClimateTech","18",24,"SKU006","4x4x1 inches",0.5,"Silver","2023-06-20","2024-06-22 07:15:00","2024-06-22 07:15:00"
7,"Robotic Vacuum Cleaner D","Robotic vacuum cleaner with mapping technology and self-charging.",7,299,500,"RoboTech","19",24,"SKU007","14x14x4 inches",3.5,"Black","2023-07-25","2024-06-22 07:30:00","2024-06-22 07:30:00"
8,"Digital Camera E","Mirrorless digital camera with 24MP sensor and 4K video recording.",8,899,1000,"PhotoTech","5",24,"SKU008","5x4x3 inches",1.0,"Black","2023-08-30","2024-06-22 07:45:00","2024-06-22 07:45:00"
9,"Electric Scooter F","Foldable electric scooter with a top speed of 15 mph and 15-mile range.",9,399,300,"EcoRide","20",12,"SKU009","40x18x6 inches",12.0,"Black","2023-09-15","2024-06-22 08:00:00","2024-06-22 08:00:00"
10,"Smart Home Hub G","Centralized smart home hub for controlling devices and managing routines.",10,129,2000,"ConnectTech","9",12,"SKU010","4x4x1 inches",0.2,"White","2023-10-20","2024-06-22 08:15:00","2024-06-22 08:15:00"
11,"Fitness Tracker H","Fitness tracker with continuous heart rate monitoring and waterproof design.",11,79,5000,"Wearables Inc.","2",12,"SKU011","2x0.5x0.4 inches",0.05,"Black","2023-11-25","2024-06-22 08:30:00","2024-06-22 08:30:00"
12,"Smart Scale I","Smart scale with body composition analysis and smartphone integration.",12,49,8000,"HealthTech","12",12,"SKU012","12x12x1 inches",2.0,"White","2023-12-30","2024-06-22 08:45:00","2024-06-22 08:45:00"
13,"Bluetooth Earphones J","Wireless Bluetooth earphones with noise cancellation and 10-hour battery life.",13,99,5000,"AudioTech","4",12,"SKU013","1x1x1 inches",0.05,"Black","2024-01-15","2024-06-22 09:00:00","2024-06-22 09:00:00"
14,"Smart Doorbell K","Video doorbell with motion detection and two-way audio communication.",14,129,1500,"HomeTech","30",24,"SKU014","5x2x1 inches",0.3,"Silver","2024-02-20","2024-06-22 09:15:00","2024-06-22 09:15:00"
15,"Wireless Charger L","Qi-compatible wireless charger with fast charging support.",15,29,10000,"ConnectTech","9",12,"SKU015","4x4x0.5 inches",0.1,"Black","2024-03-25","2024-06-22 09:30:00","2024-06-22 09:30:00"
16,"Smart Door Lock M","Smart door lock with keypad and app control for keyless entry.",16,149,300,"SecureTech","16",24,"SKU016","5x3x1 inches",0.3,"Silver","2024-04-30","2024-06-22 09:45:00","2024-06-22 09:45:00"
17,"Robot Vacuum N","Robotic vacuum cleaner with advanced mapping and Alexa compatibility.",17,249,1000,"RoboTech","19",24,"SKU017","14x14x4 inches",3.5,"White","2024-05-15","2024-06-22 10:00:00","2024-06-22 10:00:00"
18,"Smart LED Bulbs O","WiFi-enabled smart LED bulbs with adjustable brightness and color.",18,19,8000,"LightTech","39",12,"SKU018","2x2x4 inches",0.2,"RGB","2024-06-20","2024-06-22 10:15:00","2024-06-22 10:15:00"
19,"Gaming Mouse P","High-precision gaming mouse with customizable DPI settings.",19,59,5000,"GamingGear","3",12,"SKU019","5x3x2 inches",0.2,"Black","2024-07-25","2024-06-22 10:30:00","2024-06-22 10:30:00"
20,"Smart Mirror Q","Interactive smart mirror with touchscreen and built-in apps.",20,399,500,"HomeTech","30",12,"SKU020","36x24x2 inches",8.0,"Black","2024-08-30","2024-06-22 10:45:00","2024-06-22 10:45:00"
21,"Smart Wi-Fi Plug R","WiFi-enabled smart plug with energy monitoring and app control.",21,29,2000,"ConnectTech","9",12,"SKU021","3x2x2 inches",0.1,"White","2024-09-15","2024-06-22 11:00:00","2024-06-22 11:00:00"
22,"Smart Refrigerator S","Smart refrigerator with touchscreen and voice assistant integration.",22,1999,100,"HomeTech","30",36,"SKU022","36x36x72 inches",300.0,"Stainless Steel","2024-10-20","2024-06-22 11:15:00","2024-06-22 11:15:00"
23,"Robot Lawn Mower T","Autonomous robot lawn mower with GPS navigation and rain sensor.",23,899,300,"GardenTech","29",36,"SKU023","24x20x10 inches",20.0,"Green","2024-11-25","2024-06-22 11:30:00","2024-06-22 11:30:00"
24,"Smart Ceiling Fan U","Ceiling fan with smart controls and LED lighting.",24,299,800,"ClimateTech","18",24,"SKU024","52x52x12 inches",15.0,"White","2024-12-30","2024-06-22 11:45:00","2024-06-22 11:45:00"
25,"Smart Video Doorbell V","Video doorbell with HD camera and motion detection alerts.",25,129,1500,"HomeTech","30",24,"SKU025","6x3x1 inches",0.3,"Black","2025-01-15","2024-06-22 12:00:00","2024-06-22 12:00:00"
26,"Fitness Tracker W","Fitness tracker with heart rate monitor and activity tracking.",26,79,5000,"Wearables Inc.","2",12,"SKU026","2x0.5x0.3 inches",0.05,"Black","2025-02-20","2024-06-22 12:15:00","2024-06-22 12:15:00"
27,"Smart LED Strip Lights X","WiFi-enabled LED strip lights with color changing capabilities.",27,39,3000,"LightTech","39",12,"SKU027","16x0.5x0.1 inches",0.2,"RGB","2025-03-25","2024-06-22 12:30:00","2024-06-22 12:30:00"
28,"Robot Vacuum Cleaner Y","Smart robot vacuum cleaner with app control and scheduling.",28,349,500,"RoboTech","19",24,"SKU028","14x14x4 inches",3.5,"Black","2025-04-30","2024-06-22 12:45:00","2024-06-22 12:45:00"
29,"Smart Kitchen Scale Z","Digital kitchen scale with nutritional analysis and app connectivity.",29,49,1500,"KitchenTech","37",12,"SKU029","10x8x1 inches",1.0,"Silver","2025-05-15","2024-06-22 13:00:00","2024-06-22 13:00:00"
30,"Smart Home Security Camera AA","Indoor security camera with motion detection and night vision.",30,79,1000,"SecureTech","16",24,"SKU030","4x3x3 inches",0.4,"White","2025-06-20","2024-06-22 13:15:00","2024-06-22 13:15:00"
31,"Smart Outdoor Camera AB","Weatherproof outdoor camera with 1080p resolution and two-way audio.",31,99,800,"SecureTech","16",24,"SKU031","5x3x3 inches",0.5,"Black","2025-07-25","2024-06-22 13:30:00","2024-06-22 13:30:00"
32,"Smart Air Purifier AC","HEPA air purifier with WiFi connectivity and air quality sensor.",32,199,500,"ClimateTech","18",24,"SKU032","10x10x20 inches",8.0,"White","2025-08-30","2024-06-22 13:45:00","2024-06-22 13:45:00"
33,"Smart Thermostat AD","Programmable smart thermostat with remote control and energy reports.",33,129,1000,"ClimateTech","18",24,"SKU033","4x4x1 inches",0.5,"Silver","2025-09-15","2024-06-22 14:00:00","2024-06-22 14:00:00"
34,"Bluetooth Headphones AE","Wireless Bluetooth headphones with active noise cancellation.",34,149,2000,"AudioTech","4",12,"SKU034","8x6x3 inches",0.5,"Black","2025-10-20","2024-06-22 14:15:00","2024-06-22 14:15:00"
35,"Smart Pet Feeder AF","Automatic pet feeder with portion control and camera for remote monitoring.",35,79,1000,"PetTech","34",24,"SKU035","10x6x6 inches",1.0,"White","2025-11-25","2024-06-22 14:30:00","2024-06-22 14:30:00"
36,"Smart Mirror AG","Interactive smart mirror with built-in Alexa and fitness tracking features.",36,349,300,"HomeTech","30",24,"SKU036","30x20x2 inches",10.0,"Black","2025-12-30","2024-06-22 14:45:00","2024-06-22 14:45:00"
37,"Smart Light Bulbs AH","Smart LED light bulbs with adjustable brightness and voice control.",37,19,5000,"LightTech","39",12,"SKU037","2x2x4 inches",0.2,"RGB","2026-01-15","2024-06-22 15:00:00","2024-06-22 15:00:00"
38,"Smart Security Camera AI","Wireless security camera with 2K resolution and built-in spotlight.",38,199,800,"SecureTech","16",24,"SKU038","6x3x3 inches",0.3,"White","2026-02-20","2024-06-22 15:15:00","2024-06-22 15:15:00"
39,"Electric Scooter AJ","Foldable electric scooter with 250W motor and 15-mile range.",39,299,300,"EcoRide","20",12,"SKU039","42x18x6 inches",12.0,"Black","2026-03-25","2024-06-22 15:30:00","2024-06-22 15:30:00"
40,"Smart Coffee Maker AK","WiFi-enabled coffee maker with programmable brew settings.",40,89,1000,"KitchenTech","37",12,"SKU040","12x8x10 inches",5.0,"Black","2026-04-30","2024-06-22 15:45:00","2024-06-22 15:45:00"
41,"Smart Speaker AL","Voice-controlled smart speaker with built-in virtual assistant.",41,99,2000,"AudioTech","4",12,"SKU041","5x4x4 inches",1.0,"Black","2026-05-15","2024-06-22 16:00:00","2024-06-22 16:00:00"
42,"Smart Garden System AM","Automated garden watering system with app control and weather data integration.",42,149,500,"GardenTech","29",24,"SKU042","12x8x6 inches",2.0,"Green","2026-06-20","2024-06-22 16:15:00","2024-06-22 16:15:00"
43,"Smart Lock AN","Keyless smart door lock with fingerprint recognition and mobile app access.",43,199,300,"SecureTech","16",24,"SKU043","6x3x1 inches",0.5,"Silver","2026-07-25","2024-06-22 16:30:00","2024-06-22 16:30:00"
44,"Fitness Smartwatch AO","Smartwatch with fitness tracking features and heart rate monitoring.",44,149,1500,"Wearables Inc.","2",12,"SKU044","2x2x0.5 inches",0.1,"Black","2026-08-30","2024-06-22 16:45:00","2024-06-22 16:45:00"
45,"Smart Doorbell AP","Video doorbell with motion detection and two-way audio communication.",14,129,1000,"HomeTech","30",24,"SKU045","5x3x1 inches",0.3,"Silver","2026-09-15","2024-06-22 17:00:00","2024-06-22 17:00:00"
46,"Robot Vacuum Cleaner AQ","Robot vacuum cleaner with mapping technology and self-charging.",7,299,500,"RoboTech","19",24,"SKU046","14x14x4 inches",3.5,"Black","2026-10-20","2024-06-22 17:15:00","2024-06-22 17:15:00"
47,"Smart Thermostat AR","WiFi-enabled smart thermostat with energy-saving features.",6,149,800,"ClimateTech","18",24,"SKU047","4x4x1 inches",0.5,"Silver","2026-11-25","2024-06-22 17:30:00","2024-06-22 17:30:00"
48,"Wireless Earbuds AS","True wireless earbuds with noise cancellation and IPX7 waterproof rating.",13,129,2000,"AudioTech","4",12,"SKU048","1x1x1 inches",0.05,"Black","2026-12-30","2024-06-22 17:45:00","2024-06-22 17:45:00"
49,"Smart Mirror AT","Interactive smart mirror with touchscreen display and voice assistant.",20,399,300,"HomeTech","30",24,"SKU049","36x24x2 inches",8.0,"Black","2027-01-15","2024-06-22 18:00:00","2024-06-22 18:00:00"
50,"Smart Scale AU","Digital smart scale with body composition analysis and Bluetooth connectivity.",12,49,8000,"HealthTech","12",12,"SKU050","12x12x1 inches",2.0,"White","2027-02-20","2024-06-22 18:15:00","2024-06-22 18:15:00"
51,"Smart Plug AV","WiFi-enabled smart plug with energy monitoring and voice control.",21,29,5000,"ConnectTech","9",12,"SKU051","3x2x2 inches",0.1,"White","2027-03-25","2024-06-22 18:30:00","2024-06-22 18:30:00"
52,"Smart Indoor Camera AW","Indoor security camera with HD video quality and night vision.",30,79,1500,"SecureTech","16",24,"SKU052","4x3x3 inches",0.4,"Black","2027-04-30","2024-06-22 18:45:00","2024-06-22 18:45:00"
53,"Smart Outdoor Camera AX","Outdoor security camera with weatherproof design and motion detection.",31,99,1000,"SecureTech","16",24,"SKU053","5x3x3 inches",0.5,"White","2027-05-15","2024-06-22 19:00:00","2024-06-22 19:00:00"
54,"Smart Coffee Machine AY","Programmable coffee machine with brew strength options and auto shut-off.",40,99,800,"KitchenTech","37",12,"SKU054","12x8x10 inches",5.0,"Black","2027-06-20","2024-06-22 19:15:00","2024-06-22 19:15:00"
55,"Smart Garage Door Opener AZ","WiFi-enabled garage door opener with remote access and alerts.",43,149,500,"SecureTech","16",24,"SKU055","6x3x1 inches",0.5,"Silver","2027-07-25","2024-06-22 19:30:00","2024-06-22 19:30:00"
56,"Bluetooth Speaker BA","Portable Bluetooth speaker with 20W output and built-in microphone.",5,79,10000,"AudioTech","4",12,"SKU056","8x4x4 inches",1.5,"Black","2027-08-30","2024-06-22 19:45:00","2024-06-22 19:45:00"
57,"Smart Ceiling Light BB","WiFi-enabled smart ceiling light with adjustable brightness and color.",37,29,8000,"LightTech","39",12,"SKU057","2x2x4 inches",0.2,"RGB","2027-09-15","2024-06-22 20:00:00","2024-06-22 20:00:00"
58,"Smart Pet Tracker BC","GPS pet tracker with real-time location tracking and activity monitoring.",45,59,2000,"PetTech","34",12,"SKU058","3x2x0.5 inches",0.1,"Black","2027-10-20","2024-06-22 20:15:00","2024-06-22 20:15:00"
59,"Smart Desk BD","Height-adjustable smart desk with built-in USB ports and memory presets.",46,299,500,"OfficeTech","38",24,"SKU059","48x30x24 inches",50.0,"White","2027-11-25","2024-06-22 20:30:00","2024-06-22 20:30:00"
60,"Smart Alarm Clock BE","Digital alarm clock with voice control and sunrise simulation.",47,49,3000,"HomeTech","30",12,"SKU060","6x4x2 inches",0.5,"Black","2027-12-30","2024-06-22 20:45:00","2024-06-22 20:45:00"
61,"Smart Backpack BF","Tech-enabled backpack with USB charging port and water-resistant fabric.",48,59,2000,"GearTech","22",12,"SKU061","18x12x6 inches",1.5,"Gray","2028-01-15","2024-06-22 21:00:00","2024-06-22 21:00:00"
62,"Smart Oven BG","WiFi-connected oven with touchscreen control and recipe suggestions.",49,499,500,"KitchenTech","37",24,"SKU062","24x20x18 inches",40.0,"Stainless Steel","2028-02-20","2024-06-22 21:15:00","2024-06-22 21:15:00"
63,"Smart Picture Frame BH","Digital picture frame with motion sensor and cloud photo storage.",50,89,1000,"HomeTech","30",12,"SKU063","10x8x1 inches",0.5,"Black","2028-03-25","2024-06-22 21:30:00","2024-06-22 21:30:00"
64,"Smart Plant Pot BI","Automated plant pot with water level monitoring and plant health insights.",51,39,3000,"GardenTech","29",12,"SKU064","8x8x8 inches",1.0,"White","2028-04-30","2024-06-22 21:45:00","2024-06-22 21:45:00"
65,"Smart Glasses BJ","AR smart glasses with voice commands and real-time translation.",52,299,300,"Wearables Inc.","2",12,"SKU065","6x2x2 inches",0.1,"Black","2028-05-15","2024-06-22 22:00:00","2024-06-22 22:00:00"
66,"Smart Bike Lock BK","Bluetooth-enabled bike lock with theft alert notifications.",53,79,1000,"TravelTech","40",12,"SKU066","6x3x1 inches",0.3,"Black","2028-06-20","2024-06-22 22:15:00","2024-06-22 22:15:00"
67,"Smart Water Bottle BL","Hydration-tracking water bottle with reminder notifications.",54,29,5000,"HealthTech","12",12,"SKU067","10x3x3 inches",0.2,"Blue","2028-07-25","2024-06-22 22:30:00","2024-06-22 22:30:00"
68,"Smart Desk Lamp BM","LED desk lamp with adjustable brightness and color temperature.",37,39,3000,"LightTech","39",12,"SKU068","5x5x15 inches",1.0,"White","2028-08-30","2024-06-22 22:45:00","2024-06-22 22:45:00"
69,"Smart Notebook BN","Reusable digital notebook with cloud synchronization and pen holder.",55,19,8000,"OfficeTech","38",12,"SKU069","8x5x0.5 inches",0.3,"Black","2028-09-15","2024-06-22 23:00:00","2024-06-22 23:00:00"
70,"Smart Home Theater System BO","Wireless home theater system with surround sound and subwoofer.",56,499,500,"AudioTech","4",24,"SKU070","16x8x8 inches",10.0,"Black","2028-10-20","2024-06-22 23:15:00","2024-06-22 23:15:00"
71,"Smart Umbrella BP","Weather-resistant umbrella with UV protection and built-in weather forecast.",57,39,2000,"OutdoorTech","58",12,"SKU071","40x40x24 inches",1.5,"Black","2028-11-25","2024-06-22 23:30:00","2024-06-22 23:30:00"
72,"Smart Pillow BQ","Memory foam pillow with sleep tracking sensors and adjustable loft.",58,79,1000,"HealthTech","12",12,"SKU072","20x14x6 inches",2.0,"White","2028-12-30","2024-06-22 23:45:00","2024-06-22 23:45:00"
73,"Smart Vacuum Flask BR","Insulated vacuum flask with temperature display and app control.",59,29,3000,"KitchenTech","37",12,"SKU073","10x3x3 inches",0.5,"Silver","2029-01-15","2024-06-23 00:00:00","2024-06-23 00:00:00"
74,"Smart Backpack BS","Convertible backpack with solar charging panel and anti-theft design.",48,79,800,"GearTech","22",12,"SKU074","20x14x8 inches",2.5,"Black","2029-02-20","2024-06-23 00:15:00","2024-06-23 00:15:00"
75,"Smart Plant Monitor BT","Bluetooth-enabled plant monitor with soil moisture and light intensity sensors.",51,49,2000,"GardenTech","29",12,"SKU075","6x6x4 inches",0.3,"Green","2029-03-25","2024-06-23 00:30:00","2024-06-23 00:30:00"
76,"Smart Desk Chair BU","Ergonomic desk chair with lumbar support and adjustable armrests.",60,199,500,"OfficeTech","38",24,"SKU076","24x24x40 inches",20.0,"Black","2029-04-30","2024-06-23 00:45:00","2024-06-23 00:45:00"
77,"Smart Plant Pot BV","Self-watering plant pot with Bluetooth connectivity and LED grow light.",51,39,1500,"GardenTech","29",12,"SKU077","8x8x8 inches",1.0,"White","2029-05-15","2024-06-23 01:00:00","2024-06-23 01:00:00"
78,"Smart Wine Opener BW","Electric wine opener with foil cutter and rechargeable battery.",61,39,1000,"KitchenTech","37",12,"SKU078","10x2x2 inches",0.5,"Silver","2029-06-20","2024-06-23 01:15:00","2024-06-23 01:15:00"
79,"Smart Luggage BX","GPS-enabled smart luggage with built-in digital scale and USB charging ports.",62,149,500,"TravelTech","40",24,"SKU079","26x18x10 inches",8.0,"Black","2029-07-25","2024-06-23 01:30:00","2024-06-23 01:30:00"
80,"Smart Toothbrush BY","Electric toothbrush with Bluetooth connectivity and brushing analytics.",63,69,2000,"HealthTech","12",12,"SKU080","10x1x1 inches",0.2,"White","2029-08-30","2024-06-23 01:45:00","2024-06-23 01:45:00"
81,"Smart Sunglasses BZ","Smart sunglasses with UV protection and audio playback capability.",52,199,1000,"Wearables Inc.","2",12,"SKU081","6x2x2 inches",0.1,"Black","2029-09-15","2024-06-23 02:00:00","2024-06-23 02:00:00"
82,"Smart Backpack CA","Solar-powered backpack with USB charging port and weather-resistant material.",48,69,1500,"GearTech","22",12,"SKU082","18x12x6 inches",1.5,"Gray","2029-10-20","2024-06-23 02:15:00","2024-06-23 02:15:00"
83,"Smart Coffee Maker CB","WiFi-connected coffee maker with programmable brew settings and thermal carafe.",40,89,800,"KitchenTech","37",24,"SKU083","10x8x12 inches",5.0,"Stainless Steel","2029-11-25","2024-06-23 02:30:00","2024-06-23 02:30:00"
84,"Smart Thermostat CC","Smart thermostat with remote temperature sensing and energy usage analytics.",6,129,1000,"ClimateTech","18",24,"SKU084","4x4x1 inches",0.5,"Silver","2029-12-30","2024-06-23 02:45:00","2024-06-23 02:45:00"
85,"Smart Pet Feeder CD","Automatic pet feeder with portion control and camera for remote monitoring.",45,99,500,"PetTech","34",12,"SKU085","12x8x8 inches",3.0,"White","2030-01-15","2024-06-23 03:00:00","2024-06-23 03:00:00"
86,"Smart Garden Bed CE","Raised garden bed with automatic watering system and soil health sensors.",42,199,300,"GardenTech","29",24,"SKU086","48x24x12 inches",15.0,"Brown","2030-02-20","2024-06-23 03:15:00","2024-06-23 03:15:00"
87,"Smart Mirror CF","Interactive smart mirror with touchscreen display and voice assistant.",20,399,500,"HomeTech","30",24,"SKU087","36x24x2 inches",8.0,"Black","2030-03-25","2024-06-23 03:30:00","2024-06-23 03:30:00"
88,"Smart Router CG","Mesh WiFi router system with parental controls and advanced security features.",19,149,1000,"ConnectTech","9",24,"SKU088","8x8x2 inches",0.5,"Black","2030-04-30","2024-06-23 03:45:00","2024-06-23 03:45:00"
89,"Smart Doorbell CH","Video doorbell with motion detection and two-way audio communication.",14,129,2000,"HomeTech","30",12,"SKU089","5x3x1 inches",0.3,"Silver","2030-05-15","2024-06-23 04:00:00","2024-06-23 04:00:00"
90,"Smart Scale CI","Bluetooth smart scale with body composition analysis and health tracking.",12,49,5000,"HealthTech","12",12,"SKU090","12x12x1 inches",2.0,"White","2030-06-20","2024-06-23 04:15:00","2024-06-23 04:15:00"
91,"Smart Lock CJ","Keyless entry smart lock with fingerprint recognition and mobile app control.",43,179,800,"SecureTech","16",24,"SKU091","6x3x1 inches",0.5,"Black","2030-07-25","2024-06-23 04:30:00","2024-06-23 04:30:00"
92,"Smart Table Lamp CK","Dimmable LED table lamp with touch control and adjustable brightness.",37,29,3000,"LightTech","39",12,"SKU092","6x6x12 inches",1.0,"White","2030-08-30","2024-06-23 04:45:00","2024-06-23 04:45:00"
93,"Smart Air Purifier CL","HEPA air purifier with WiFi connectivity and air quality monitoring.",15,199,1000,"HomeTech","30",24,"SKU093","10x10x18 inches",5.0,"White","2030-09-15","2024-06-23 05:00:00","2024-06-23 05:00:00"
94,"Smart Plant Sensor CM","Wireless plant sensor with moisture and light intensity monitoring.",51,19,5000,"GardenTech","29",12,"SKU094","4x2x1 inches",0.1,"Green","2030-10-20","2024-06-23 05:15:00","2024-06-23 05:15:00"
95,"Smart Car Charger CN","Dual USB car charger with Bluetooth connectivity and vehicle battery monitor.",64,29,5000,"AutoTech","42",12,"SKU095","3x1x1 inches",0.1,"Black","2030-11-25","2024-06-23 05:30:00","2024-06-23 05:30:00"
96,"Smart Picture Frame CO","Digital photo frame with WiFi and app for easy photo sharing.",50,69,1500,"HomeTech","30",12,"SKU096","12x10x1 inches",1.0,"Black","2030-12-30","2024-06-23 05:45:00","2024-06-23 05:45:00"
97,"Smart Watering Can CP","Automated watering can with app control and water consumption analytics.",65,39,3000,"GardenTech","29",12,"SKU097","8x4x8 inches",0.5,"Green","2031-01-15","2024-06-23 06:00:00","2024-06-23 06:00:00"
98,"Smart LED Strip CQ","WiFi-enabled LED light strip with color-changing capabilities and voice control.",66,49,2000,"LightTech","39",12,"SKU098","120x1x0.2 inches",0.3,"RGB","2031-02-20","2024-06-23 06:15:00","2024-06-23 06:15:00"
99,"Smart Security Camera CR","Indoor security camera with 1080p HD resolution and night vision.",30,79,1000,"SecureTech","16",24,"SKU099","5x3x3 inches",0.4,"White","2031-03-25","2024-06-23 06:30:00","2024-06-23 06:30:00"
